Обработка,Интервью с руководителем,СБ,Оформление
0 days 00:00:38,0 days 00:00:00,0 days 19:23:07,4 days 00:30:27
0 days 00:00:13,0 days 00:00:01,0 days 19:59:24,11 days 06:00:18
0 days 00:00:32,0 days 00:00:01,0 days 16:52:13,10 days 20:22:54
0 days 00:00:19,0 days 00:00:01,0 days 19:10:49,40 days 02:56:14
0 days 00:00:25,0 days 00:00:01,32 days 19:47:36,0 days 00:00:05
0 days 00:00:17,0 days 00:00:01,0 days 19:19:16,3 days 17:04:36
0 days 00:00:16,0 days 00:00:01,0 days 19:02:54,45 days 02:28:24
0 days 00:00:21,6 days 16:32:06,0 days 04:43:10,3 days 04:53:27
0 days 00:00:10,0 days 00:00:01,0 days 18:53:08,0 days 00:54:41
0 days 00:00:11,5 days 22:18:50,0 days 16:20:57,0 days 00:00:04
0 days 00:00:18,0 days 00:00:01,0 days 18:57:49,5 days 03:50:45
0 days 00:00:27,0 days 00:00:00,0 days 18:41:10,12 days 05:58:22
0 days 00:00:43,0 days 00:00:01,0 days 18:40:08,0 days 00:00:04
0 days 00:00:23,0 days 00:00:01,0 days 18:39:39,32 days 02:02:23
0 days 00:00:16,0 days 00:00:00,0 days 18:44:46,17 days 03:39:24
0 days 00:00:09,27 days 18:04:46,0 days 00:00:03,0 days 00:00:05
0 days 00:00:22,0 days 00:00:01,0 days 18:35:15,0 days 02:13:21
5 days 01:08:27,0 days 00:00:01,0 days 17:36:47,8 days 02:45:35
0 days 00:00:24,0 days 00:00:00,0 days 18:11:59,13 days 05:47:27
26 days 14:08:31,0 days 00:00:01,0 days 03:09:59,4 days 18:46:12
0 days 00:00:32,0 days 00:00:01,0 days 06:27:22,19 days 00:00:53
0 days 00:00:26,0 days 00:00:02,0 days 06:08:05,11 days 01:04:18
0 days 00:00:24,0 days 00:00:01,0 days 04:35:01,12 days 03:54:11
0 days 00:00:07,1 days 05:12:36,0 days 03:29:58,6 days 20:09:45
0 days 00:00:22,0 days 00:00:02,0 days 04:35:48,0 days 00:00:14
0 days 00:00:18,0 days 00:00:02,0 days 04:25:44,2 days 22:32:32
0 days 01:00:02,0 days 00:00:02,0 days 03:29:56,16 days 01:58:05
0 days 00:00:29,0 days 00:00:02,0 days 04:24:32,14 days 04:25:01
0 days 00:00:21,0 days 00:00:02,0 days 04:04:21,0 days 00:55:15
0 days 00:02:11,0 days 00:00:02,0 days 04:15:03,0 days 18:38:37
0 days 00:02:46,0 days 00:00:01,0 days 04:20:23,4 days 23:47:46
0 days 00:00:21,0 days 00:00:02,0 days 03:55:45,27 days 21:45:09
0 days 00:00:12,0 days 00:00:01,0 days 03:50:29,18 days 23:34:17
0 days 00:00:17,0 days 00:00:01,0 days 03:39:13,17 days 01:12:59
0 days 00:00:29,0 days 00:00:02,0 days 03:53:06,4 days 01:12:29
0 days 00:00:41,13 days 05:05:03,0 days 17:20:15,0 days 00:00:18
0 days 00:00:17,0 days 00:00:01,0 days 03:39:22,108 days 01:26:59
13 days 00:47:17,13 days 00:46:58,13 days 04:51:31,4 days 01:56:12
0 days 00:00:26,0 days 04:01:32,0 days 04:36:47,4 days 02:30:47
0 days 00:00:26,0 days 00:00:02,0 days 04:02:43,14 days 04:38:39
0 days 00:00:21,0 days 00:00:01,0 days 03:54:48,13 days 01:45:42
0 days 00:00:16,0 days 00:00:02,0 days 03:44:30,4 days 02:32:40
0 days 00:00:24,0 days 00:00:01,0 days 03:36:03,12 days 04:35:38
0 days 00:00:34,0 days 00:00:02,0 days 03:17:26,0 days 00:00:04
0 days 00:00:19,0 days 08:03:15,0 days 17:12:53,6 days 04:08:38
0 days 00:01:13,0 days 04:15:56,0 days 18:11:04,0 days 00:00:04
0 days 00:00:15,0 days 23:28:14,0 days 03:36:48,11 days 23:13:46
0 days 00:01:01,0 days 00:00:02,0 days 00:00:03,0 days 00:00:36
0 days 00:00:10,0 days 05:22:01,0 days 17:48:51,15 days 19:44:04
0 days 00:00:14,11 days 04:28:17,0 days 20:59:42,8 days 20:17:01
0 days 00:00:36,0 days 00:00:02,0 days 00:00:05,0 days 00:02:32
0 days 00:00:18,0 days 00:00:02,0 days 00:00:04,0 days 00:00:07
0 days 00:00:38,0 days 00:00:02,0 days 00:00:03,0 days 00:00:13
0 days 00:00:17,0 days 00:00:02,0 days 00:00:03,0 days 00:00:04
0 days 00:00:22,0 days 00:00:02,0 days 00:00:03,0 days 00:00:06
0 days 00:00:31,0 days 00:00:02,0 days 00:00:03,0 days 00:00:17
0 days 00:00:17,0 days 00:00:02,0 days 00:00:04,0 days 00:00:06
15 days 04:54:20,15 days 04:53:39,0 days 00:00:01,0 days 00:00:04
0 days 00:00:15,0 days 00:00:02,0 days 00:00:03,0 days 00:00:08
0 days 00:00:32,0 days 00:00:02,0 days 00:00:03,0 days 00:01:56
0 days 00:00:36,0 days 00:00:02,0 days 03:08:20,0 days 00:00:11
0 days 00:00:17,0 days 00:00:02,0 days 00:00:04,0 days 00:00:37
0 days 00:00:11,4 days 00:39:32,0 days 00:00:01,0 days 00:00:07
0 days 00:00:21,0 days 00:00:02,0 days 00:00:04,0 days 00:00:05
0 days 00:00:19,0 days 00:00:01,0 days 00:00:04,0 days 00:00:04
0 days 00:00:17,0 days 05:35:07,0 days 16:44:33,6 days 02:48:43
0 days 00:00:17,0 days 00:00:01,0 days 02:52:16,0 days 00:01:37
0 days 00:00:16,12 days 03:03:35,0 days 19:03:30,0 days 00:00:04
0 days 00:00:28,0 days 00:00:02,0 days 00:00:04,0 days 00:09:14
0 days 00:00:20,0 days 00:00:01,0 days 00:00:02,0 days 00:00:06
0 days 00:02:25,0 days 05:58:47,0 days 16:11:28,21 days 00:42:35
0 days 00:00:22,5 days 08:20:36,0 days 16:06:00,2 days 05:27:58
0 days 00:00:46,0 days 00:00:02,0 days 02:17:22,32 days 00:23:20
0 days 00:00:41,0 days 00:00:02,0 days 03:41:35,2 days 23:26:03
0 days 00:00:18,0 days 00:00:02,0 days 03:54:28,0 days 22:44:51
0 days 00:00:20,0 days 00:00:02,0 days 00:00:03,0 days 00:00:05
0 days 00:00:16,0 days 00:00:02,0 days 00:00:03,0 days 00:00:04
0 days 00:11:41,0 days 00:00:02,0 days 03:23:14,3 days 00:02:00
0 days 00:00:17,0 days 00:00:02,0 days 00:00:04,0 days 00:00:04
0 days 00:00:17,0 days 00:00:02,0 days 00:00:04,0 days 00:00:05
0 days 00:00:18,0 days 00:00:02,0 days 00:00:04,0 days 00:00:05
0 days 00:02:20,0 days 00:00:02,0 days 03:53:55,20 days 02:16:50
0 days 00:00:09,13 days 04:17:16,0 days 00:00:02,0 days 00:00:04
0 days 00:00:13,0 days 00:00:02,0 days 00:00:02,0 days 00:00:06
0 days 00:00:23,0 days 00:00:01,0 days 00:00:03,0 days 00:00:21
0 days 00:01:02,0 days 00:00:03,0 days 00:00:04,0 days 00:02:12
42 days 01:40:35,42 days 01:40:14,0 days 00:00:02,0 days 00:00:04
0 days 00:00:44,0 days 00:00:02,0 days 00:00:04,0 days 00:00:19
14 days 02:07:45,14 days 02:07:20,14 days 02:07:19,0 days 00:00:05
0 days 00:00:27,0 days 00:00:02,0 days 00:00:03,0 days 00:00:05
0 days 00:00:17,3 days 23:11:00,0 days 03:01:34,15 days 23:40:08
0 days 00:00:30,0 days 00:00:01,0 days 04:00:40,14 days 04:17:06
0 days 00:00:14,0 days 00:00:02,0 days 00:00:03,0 days 00:00:07
0 days 00:00:42,0 days 00:00:02,0 days 04:49:23,4 days 00:36:52
0 days 00:00:13,0 days 02:43:55,0 days 18:09:50,7 days 03:01:08
32 days 01:29:12,32 days 01:28:13,26 days 19:39:02,0 days 00:00:05
0 days 00:00:18,0 days 00:00:02,0 days 00:00:04,0 days 00:00:23
0 days 00:00:23,0 days 22:06:49,0 days 03:40:41,17 days 22:20:44
29 days 02:07:28,29 days 02:06:44,24 days 21:19:47,0 days 00:00:04
0 days 00:00:25,0 days 00:00:02,0 days 00:00:04,0 days 00:00:03
0 days 00:00:12,13 days 00:51:59,13 days 05:22:55,0 days 00:00:02
0 days 00:00:25,5 days 21:27:53,,0 days 02:29:14
0 days 00:00:17,5 days 00:44:43,0 days 03:22:37,8 days 20:57:32
0 days 00:00:22,1 days 03:05:06,0 days 00:00:01,3 days 19:36:56
0 days 00:00:19,0 days 00:00:02,0 days 02:51:06,4 days 23:15:02
0 days 00:00:15,0 days 04:37:49,0 days 16:38:16,0 days 00:00:04
0 days 00:00:26,0 days 00:00:02,0 days 00:00:03,0 days 00:00:05
0 days 00:00:29,0 days 00:00:02,0 days 02:58:23,3 days 23:51:33
0 days 00:00:21,0 days 00:00:02,0 days 02:42:54,0 days 04:51:08
0 days 00:00:13,4 days 23:15:14,0 days 00:00:02,0 days 00:00:05
0 days 00:01:28,0 days 00:00:01,0 days 00:00:02,20 days 00:00:34
0 days 00:00:18,0 days 05:28:40,0 days 17:22:28,17 days 00:54:20
0 days 00:00:12,15 days 19:48:22,0 days 04:46:38,0 days 00:00:05
0 days 00:00:25,0 days 00:00:02,0 days 02:52:00,5 days 00:52:34
0 days 00:00:20,12 days 00:32:15,0 days 00:00:02,0 days 00:00:12
0 days 00:00:30,0 days 00:00:01,0 days 00:00:03,0 days 00:00:35
0 days 00:02:45,0 days 04:38:30,0 days 16:39:07,0 days 01:00:52
0 days 00:00:26,0 days 00:00:02,0 days 02:40:28,20 days 03:14:57
0 days 00:00:41,0 days 00:00:02,0 days 02:34:11,4 days 01:10:18
0 days 00:00:30,52 days 23:24:45,0 days 19:25:19,4 days 00:12:25
0 days 00:00:15,0 days 00:00:02,0 days 00:00:03,0 days 00:00:43
0 days 00:00:12,0 days 00:00:02,0 days 00:00:03,10 days 23:57:07
0 days 00:00:33,0 days 23:48:08,0 days 03:02:44,10 days 04:57:19
0 days 00:00:18,4 days 05:11:49,0 days 18:53:46,8 days 04:02:07
0 days 00:00:20,0 days 03:15:18,0 days 17:51:24,0 days 00:00:04
0 days 00:00:22,0 days 00:00:01,0 days 02:20:48,63 days 03:10:09
0 days 00:00:17,0 days 00:00:03,0 days 02:52:46,4 days 18:38:44
0 days 00:00:42,0 days 00:00:03,0 days 00:00:04,0 days 00:01:05
0 days 00:00:21,0 days 00:00:01,0 days 02:51:18,10 days 02:33:56
0 days 00:00:28,0 days 00:00:02,0 days 02:43:45,4 days 02:24:21
0 days 00:00:14,0 days 00:00:01,0 days 02:41:34,18 days 03:37:28
0 days 00:00:21,0 days 00:00:02,0 days 02:16:47,11 days 02:51:05
0 days 00:00:21,0 days 00:00:00,0 days 19:28:03,10 days 06:01:52
0 days 00:00:24,0 days 00:00:01,0 days 02:44:16,46 days 00:45:27
0 days 00:00:10,0 days 00:00:00,0 days 02:45:22,4 days 00:13:58
0 days 00:00:10,1 days 00:00:39,0 days 02:10:01,29 days 05:22:51
0 days 00:00:05,0 days 21:03:25,0 days 03:40:11,0 days 00:00:08
0 days 00:08:44,5 days 03:00:09,0 days 03:11:27,4 days 20:34:20
0 days 00:00:22,0 days 00:00:00,0 days 02:33:12,4 days 02:09:57
0 days 00:00:12,0 days 00:00:01,0 days 03:50:30,8 days 04:32:40
0 days 00:00:19,0 days 00:00:01,0 days 03:19:37,10 days 06:02:39
0 days 00:00:19,0 days 00:00:00,0 days 04:44:41,0 days 16:35:16
0 days 00:00:25,0 days 00:00:01,0 days 03:49:22,3 days 01:27:28
0 days 00:00:08,3 days 22:53:17,0 days 21:01:04,14 days 23:32:26
0 days 00:00:11,0 days 00:00:00,0 days 05:16:55,0 days 17:15:13
54 days 02:48:04,54 days 02:45:03,54 days 22:05:21,7 days 00:33:47
0 days 00:00:22,250 days 03:57:16,0 days 17:40:05,2 days 22:14:22
0 days 00:00:21,0 days 00:00:01,0 days 04:32:13,0 days 17:15:54
0 days 00:00:21,0 days 00:00:01,0 days 02:47:09,18 days 02:27:28
0 days 00:00:14,0 days 21:28:38,0 days 03:34:21,1 days 16:53:17
0 days 00:00:18,0 days 00:00:01,0 days 05:00:56,0 days 16:25:19
0 days 00:00:17,0 days 23:33:48,0 days 02:35:53,6 days 19:00:00
0 days 00:00:08,0 days 00:00:01,0 days 00:00:09,20 days 02:31:05
0 days 00:00:14,0 days 00:00:01,0 days 04:48:27,4 days 01:30:39
0 days 00:00:13,0 days 00:00:01,0 days 00:00:02,0 days 00:00:03
0 days 00:00:16,0 days 00:00:01,0 days 18:39:15,1 days 21:36:29
0 days 00:00:15,0 days 00:00:00,0 days 04:57:50,46 days 06:30:17
0 days 00:00:05,3 days 22:35:25,0 days 04:59:50,24 days 01:38:55
0 days 00:00:13,0 days 20:15:16,0 days 03:44:31,7 days 20:06:59
0 days 00:00:21,0 days 00:00:01,0 days 18:21:40,41 days 19:30:09
0 days 00:00:20,0 days 00:00:01,0 days 18:27:18,20 days 21:19:39
0 days 00:00:21,0 days 00:00:01,0 days 18:23:30,0 days 00:00:13
0 days 00:00:14,0 days 00:00:01,0 days 18:23:58,15 days 01:42:14
0 days 00:00:18,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
26 days 21:10:47,26 days 21:10:20,27 days 00:57:21,40 days 01:01:00
0 days 00:00:21,0 days 00:00:00,0 days 18:48:51,15 days 17:08:18
0 days 00:00:18,0 days 00:00:01,0 days 18:34:33,16 days 18:09:05
0 days 00:00:10,4 days 19:59:44,0 days 00:00:04,0 days 00:00:05
0 days 00:00:10,0 days 00:00:00,0 days 18:32:16,1 days 16:16:16
0 days 00:00:33,0 days 00:00:01,0 days 18:20:27,7 days 19:39:20
0 days 00:00:32,0 days 00:00:00,0 days 18:43:43,1 days 16:01:19
0 days 00:00:19,0 days 00:00:00,0 days 18:59:59,0 days 00:00:05
0 days 00:00:17,0 days 00:00:01,0 days 18:39:06,10 days 00:21:02
0 days 00:00:56,0 days 00:00:00,0 days 18:11:32,17 days 17:28:15
0 days 00:00:14,0 days 00:00:01,0 days 18:02:22,1 days 19:40:30
0 days 00:00:10,0 days 00:00:01,0 days 00:00:06,11 days 04:24:02
0 days 00:00:14,0 days 00:00:00,0 days 18:13:58,9 days 17:06:56
138 days 01:00:10,138 days 00:59:58,138 days 18:18:30,5 days 20:40:37
0 days 00:00:16,0 days 00:00:01,0 days 18:27:55,0 days 00:00:04
0 days 00:00:37,0 days 00:00:00,0 days 17:58:56,10 days 20:56:03
0 days 00:00:17,0 days 21:05:22,0 days 03:11:45,0 days 19:21:23
0 days 00:00:16,0 days 00:00:01,0 days 18:17:04,10 days 22:16:22
0 days 00:00:09,0 days 00:00:01,0 days 18:00:08,10 days 21:30:58
0 days 00:00:24,0 days 00:00:02,0 days 17:47:24,23 days 19:11:42
0 days 00:00:20,0 days 00:00:01,0 days 18:26:23,6 days 19:15:02
0 days 00:00:42,0 days 00:00:01,0 days 18:09:56,1 days 16:07:10
0 days 00:00:27,0 days 00:00:01,0 days 17:51:34,0 days 18:27:07
0 days 00:00:19,0 days 00:00:01,0 days 18:22:40,7 days 19:43:25
0 days 00:00:17,0 days 00:00:01,0 days 17:55:53,12 days 03:51:50
0 days 00:00:19,0 days 00:00:01,0 days 18:03:37,0 days 17:04:49
0 days 00:00:14,0 days 00:00:01,34 days 00:16:29,0 days 00:00:12
0 days 00:00:14,0 days 00:00:01,0 days 17:57:12,6 days 19:34:51
0 days 00:01:13,3 days 18:06:10,0 days 02:43:46,0 days 23:35:29
10 days 21:37:15,10 days 21:35:51,11 days 18:05:10,0 days 20:52:00
0 days 00:00:18,0 days 00:00:00,0 days 17:44:13,0 days 00:00:04
0 days 00:00:23,0 days 00:00:01,0 days 18:00:32,0 days 00:00:04
0 days 00:01:42,0 days 00:00:01,0 days 17:45:36,15 days 17:51:56
0 days 00:00:36,0 days 00:00:01,0 days 17:42:01,6 days 18:54:04
0 days 00:00:16,0 days 00:00:01,0 days 00:00:02,0 days 00:00:28
0 days 00:00:16,4 days 17:28:14,0 days 04:21:10,0 days 00:00:00
0 days 00:04:48,6 days 02:40:12,0 days 00:00:00,2 days 01:17:32
0 days 00:00:30,0 days 00:00:02,0 days 17:54:40,114 days 01:48:51
0 days 00:00:12,0 days 00:00:01,0 days 17:32:20,7 days 19:32:58
0 days 00:00:30,0 days 00:00:01,0 days 00:00:02,13 days 00:17:59
0 days 00:00:36,0 days 00:00:01,0 days 17:54:19,0 days 16:17:28
12 days 17:51:10,12 days 17:51:00,12 days 20:46:27,0 days 00:00:04
0 days 00:00:14,0 days 00:00:00,0 days 17:44:20,0 days 16:23:53
0 days 00:00:25,0 days 00:00:00,0 days 17:49:50,8 days 22:31:21
0 days 00:00:07,0 days 21:23:36,0 days 02:10:24,1 days 16:19:47
0 days 00:00:16,0 days 00:00:01,0 days 17:34:39,1 days 17:50:42
0 days 00:00:27,0 days 00:00:01,0 days 17:26:56,0 days 23:29:57
0 days 00:00:14,0 days 00:00:00,0 days 17:32:06,0 days 23:51:17
0 days 00:00:07,0 days 00:00:01,0 days 00:00:01,0 days 18:32:41
0 days 00:00:26,0 days 00:00:00,0 days 17:46:15,6 days 02:50:09
0 days 00:00:10,3 days 18:46:31,0 days 04:06:34,7 days 02:56:49
0 days 00:00:23,0 days 00:00:01,0 days 17:26:43,7 days 20:50:04
0 days 00:00:26,0 days 00:00:01,0 days 17:20:59,1 days 17:02:31
0 days 00:00:27,0 days 00:00:00,0 days 17:24:32,10 days 22:50:21
0 days 00:00:19,0 days 00:00:00,0 days 17:11:05,7 days 21:00:16
0 days 00:00:17,0 days 00:00:00,0 days 17:05:47,0 days 00:00:26
0 days 00:00:12,0 days 00:00:01,0 days 17:22:43,0 days 19:02:17
0 days 00:00:21,0 days 00:00:00,0 days 17:08:00,6 days 19:59:41
0 days 00:00:35,5 days 17:29:06,0 days 02:00:55,0 days 00:00:00
0 days 00:01:32,0 days 00:00:00,0 days 17:12:48,0 days 00:00:27
0 days 00:00:20,0 days 00:00:01,0 days 16:56:21,1 days 18:37:25
0 days 00:00:33,0 days 00:00:01,0 days 17:05:27,6 days 21:35:09
0 days 00:00:18,0 days 00:00:01,0 days 16:52:37,6 days 21:26:07
0 days 00:00:16,0 days 00:00:02,0 days 17:09:49,0 days 18:57:18
0 days 00:00:11,0 days 00:00:01,0 days 00:00:06,10 days 03:00:27
0 days 00:00:34,13 days 21:57:25,0 days 18:42:59,0 days 00:00:06
0 days 00:00:13,0 days 00:00:01,0 days 16:48:54,0 days 00:00:13
0 days 00:00:21,0 days 00:00:01,0 days 16:53:49,10 days 02:27:39
0 days 00:00:16,0 days 00:00:01,0 days 16:57:48,11 days 00:37:08
0 days 00:00:20,0 days 00:00:01,0 days 16:54:34,7 days 02:37:41
0 days 00:00:27,0 days 00:00:01,0 days 16:55:27,35 days 02:41:15
0 days 00:00:40,0 days 00:00:01,0 days 16:36:32,7 days 03:29:52
0 days 00:00:14,0 days 00:00:01,0 days 16:32:20,0 days 00:00:08
0 days 00:00:16,0 days 00:00:00,0 days 16:42:02,1 days 17:25:26
0 days 00:00:12,0 days 22:51:39,2 days 18:19:36,10 days 05:18:30
0 days 00:01:17,0 days 00:00:01,0 days 17:01:51,1 days 19:38:39
0 days 00:00:16,0 days 00:00:00,0 days 17:06:15,0 days 20:06:56
0 days 00:00:28,12 days 23:08:41,0 days 00:00:01,0 days 00:00:04
0 days 00:00:10,0 days 00:00:01,0 days 16:39:51,22 days 22:56:42
0 days 00:00:18,0 days 00:00:01,0 days 16:30:26,0 days 21:18:14
0 days 00:00:43,0 days 00:00:00,0 days 16:26:20,17 days 23:14:47
0 days 00:00:31,0 days 00:00:01,0 days 16:21:07,9 days 23:22:42
0 days 00:00:08,4 days 21:18:10,0 days 17:14:03,5 days 01:27:08
0 days 00:00:16,0 days 00:00:00,0 days 17:39:16,17 days 00:07:44
0 days 00:00:15,0 days 00:00:00,0 days 17:36:33,9 days 02:43:46
0 days 00:00:20,0 days 00:00:01,0 days 16:45:19,9 days 02:59:23
0 days 00:00:16,0 days 00:00:01,0 days 17:25:25,14 days 02:01:20
0 days 00:00:17,0 days 00:00:00,0 days 16:47:58,11 days 02:44:22
0 days 00:00:22,0 days 00:00:01,0 days 16:57:53,1 days 23:27:42
0 days 00:00:27,0 days 00:00:01,0 days 17:20:45,10 days 01:35:02
0 days 00:00:52,0 days 00:00:00,0 days 16:21:58,11 days 03:37:59
0 days 00:02:13,0 days 22:04:22,2 days 17:58:26,29 days 02:39:17
0 days 00:00:17,0 days 00:00:01,0 days 17:07:39,14 days 01:19:36
4 days 19:18:02,0 days 00:00:00,0 days 04:11:02,104 days 03:30:51
0 days 00:00:15,0 days 00:00:01,0 days 17:04:49,9 days 05:20:48
0 days 00:00:17,0 days 00:00:01,0 days 17:11:15,1 days 23:41:28
0 days 00:00:50,0 days 00:00:00,0 days 15:48:38,7 days 02:26:23
0 days 00:00:24,0 days 18:22:52,0 days 02:45:00,7 days 02:07:41
0 days 00:00:19,0 days 00:00:00,0 days 15:47:16,8 days 03:12:32
0 days 00:00:52,0 days 00:00:01,0 days 17:23:54,1 days 01:44:16
0 days 00:02:08,0 days 00:00:00,0 days 15:58:09,5 days 21:41:38
0 days 00:00:40,0 days 00:00:01,0 days 16:36:08,2 days 00:43:26
0 days 00:00:31,0 days 00:00:00,0 days 17:04:01,17 days 02:42:39
0 days 00:00:23,0 days 00:00:01,0 days 17:23:29,7 days 03:18:06
0 days 00:00:14,0 days 00:00:00,0 days 17:24:42,11 days 05:00:27
0 days 00:00:19,0 days 00:00:00,0 days 15:36:02,17 days 02:50:28
0 days 00:00:09,0 days 00:00:01,0 days 17:06:30,9 days 05:50:05
0 days 00:00:21,0 days 18:37:46,0 days 03:28:33,7 days 20:52:58
10 days 18:15:55,10 days 18:15:27,11 days 13:23:34,0 days 00:00:04
0 days 00:01:18,0 days 00:00:01,0 days 16:31:16,0 days 00:00:05
0 days 00:00:37,4 days 00:10:18,0 days 16:57:46,6 days 21:31:22
0 days 00:00:29,0 days 00:00:01,0 days 16:07:32,17 days 19:59:30
11 days 16:45:19,11 days 16:44:39,6 days 02:30:35,0 days 00:00:05
0 days 00:00:20,4 days 07:06:39,0 days 18:17:54,35 days 01:54:01
0 days 00:00:12,0 days 00:00:01,0 days 04:16:06,0 days 00:00:06
0 days 00:00:11,0 days 00:00:01,0 days 03:42:46,1 days 22:02:19
0 days 00:00:16,0 days 00:00:01,0 days 03:49:06,7 days 00:39:01
0 days 00:00:17,0 days 00:00:01,0 days 03:43:14,0 days 22:31:12
0 days 00:00:24,0 days 00:00:01,0 days 03:33:34,3 days 01:57:03
0 days 00:00:26,11 days 08:06:06,0 days 17:45:20,0 days 00:00:03
0 days 00:00:15,0 days 00:00:01,0 days 03:30:01,8 days 04:09:32
0 days 00:00:35,0 days 00:00:00,0 days 00:00:01,0 days 00:00:14
0 days 00:02:38,0 days 00:00:00,0 days 00:00:01,0 days 00:01:05
0 days 00:00:12,0 days 00:00:01,0 days 01:44:41,6 days 05:54:25
0 days 00:00:12,3 days 00:44:02,0 days 00:00:02,0 days 00:00:04
0 days 00:00:33,0 days 00:00:01,0 days 03:35:51,7 days 03:23:25
0 days 00:00:10,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:17,0 days 00:00:01,0 days 00:00:03,0 days 00:00:05
0 days 00:00:15,0 days 00:00:01,0 days 02:41:30,0 days 04:43:30
0 days 00:00:15,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:12,0 days 00:00:01,0 days 00:00:01,0 days 00:00:17
0 days 00:00:55,2 days 23:01:12,0 days 03:23:08,1 days 00:16:47
0 days 00:00:30,0 days 00:00:01,0 days 00:00:02,0 days 00:00:04
0 days 00:00:11,0 days 00:00:01,0 days 03:21:38,8 days 05:40:02
0 days 00:00:14,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:20,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:17,0 days 00:00:01,0 days 03:35:37,8 days 05:53:10
0 days 00:00:49,0 days 00:00:01,0 days 00:00:01,0 days 00:01:16
0 days 00:00:20,0 days 00:00:01,0 days 00:00:02,0 days 00:00:03
0 days 00:00:07,0 days 00:00:01,0 days 00:00:02,0 days 00:00:02
0 days 00:00:15,0 days 00:00:01,0 days 00:00:01,0 days 00:00:22
0 days 00:00:15,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:00:50,0 days 00:00:01,0 days 03:43:15,7 days 03:00:05
0 days 00:00:19,0 days 00:00:00,0 days 02:41:39,16 days 18:27:29
0 days 00:00:06,4 days 08:15:58,0 days 17:37:14,2 days 04:10:52
0 days 00:00:26,0 days 00:00:01,0 days 00:00:01,0 days 00:00:05
0 days 00:05:01,0 days 00:00:01,0 days 00:00:01,0 days 00:00:04
0 days 00:00:08,0 days 00:00:01,0 days 00:00:02,0 days 00:01:16
0 days 00:00:19,0 days 00:00:00,0 days 00:00:02,0 days 00:00:13
0 days 00:00:14,0 days 00:00:01,0 days 02:44:09,1 days 15:30:11
0 days 00:00:43,0 days 00:00:01,0 days 03:33:14,6 days 18:30:53
0 days 00:00:26,0 days 00:00:01,0 days 00:00:01,0 days 00:00:08
0 days 00:00:10,0 days 00:00:00,0 days 00:00:01,0 days 00:00:13
0 days 00:00:16,0 days 00:00:00,0 days 03:37:59,8 days 22:31:48
0 days 00:00:16,0 days 00:00:00,0 days 03:11:16,6 days 19:09:49
0 days 00:00:19,2 days 23:56:10,0 days 04:20:55,7 days 02:45:44
0 days 00:00:21,0 days 00:00:00,0 days 03:45:07,36 days 19:17:48
0 days 00:00:14,0 days 00:00:01,0 days 00:00:02,0 days 00:00:14
0 days 00:00:15,0 days 00:00:01,0 days 00:00:01,0 days 00:00:09
0 days 00:00:15,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:14,0 days 00:00:01,0 days 04:30:57,6 days 18:14:24
0 days 00:00:46,0 days 00:00:01,0 days 00:00:01,0 days 00:00:04
0 days 00:00:07,4 days 02:32:50,0 days 02:20:27,3 days 04:25:24
0 days 00:00:16,0 days 00:00:01,0 days 00:00:02,0 days 00:00:05
0 days 00:00:16,0 days 00:00:00,0 days 04:08:25,15 days 17:05:54
0 days 00:01:17,0 days 00:00:00,0 days 03:56:38,9 days 19:15:03
0 days 00:00:14,0 days 00:00:00,0 days 04:17:35,7 days 20:05:31
0 days 00:02:45,0 days 02:47:20,0 days 03:27:35,6 days 18:40:15
0 days 00:00:14,0 days 00:00:00,0 days 04:37:31,8 days 03:50:32
0 days 00:00:13,0 days 00:00:01,0 days 00:00:01,0 days 00:00:11
0 days 00:00:49,0 days 00:00:01,0 days 00:00:01,0 days 00:00:45
115 days 02:10:23,115 days 02:10:10,115 days 07:10:06,6 days 21:23:05
0 days 00:00:17,0 days 00:00:00,0 days 00:00:01,0 days 00:00:04
0 days 00:00:15,0 days 00:00:01,0 days 04:16:51,0 days 16:49:11
0 days 00:00:25,0 days 00:00:01,0 days 00:00:02,0 days 00:00:55
0 days 00:01:58,0 days 00:00:01,0 days 00:00:01,0 days 00:00:19
0 days 00:00:23,0 days 00:00:00,0 days 00:00:01,0 days 00:00:19
0 days 00:00:25,0 days 00:00:00,0 days 04:05:19,1 days 17:03:03
0 days 00:00:28,4 days 03:41:59,0 days 17:21:19,8 days 22:16:52
0 days 00:00:47,3 days 22:37:41,0 days 03:23:01,7 days 04:14:50
0 days 00:00:34,0 days 00:00:01,0 days 03:54:05,6 days 19:08:11
0 days 00:00:22,0 days 00:00:01,0 days 01:30:08,10 days 22:40:26
0 days 00:00:19,0 days 00:00:01,0 days 03:33:00,8 days 06:03:24
0 days 00:00:21,0 days 00:00:01,0 days 03:46:06,15 days 01:57:51
0 days 00:00:19,0 days 00:00:00,0 days 03:30:20,16 days 00:11:45
